Breed,2013 Rank,2014 Rank,2015 Rank,2016 Rank,2017 Rank,2018 Rank,2019 Rank,2020 Rank,links,Image,Color_Image
Newfoundlands,37,37,37,35,36,40,40,41,https://www.akc.org/dog-breeds/newfoundland/,https://www.akc.org/wp-content/uploads/2017/11/Newfoundland-Illo-2.jpg,https://www.akc.org/wp-content/uploads/2017/11/Newfoundland-standing-outdoors.jpg
Rhodesian Ridgebacks,39,39,40,42,41,41,42,42,https://www.akc.org/dog-breeds/rhodesian-ridgeback/,https://www.akc.org/wp-content/uploads/2017/11/Rhodesian-Ridgeback-Illo-2.jpg,https://www.akc.org/wp-content/uploads/2017/11/Rhodesian-Ridgeback-standing-in-profile-in-a-field.jpg
Shiba Inu,46,47,45,44,45,44,45,43,https://www.akc.org/dog-breeds/shiba-inu/,https://www.akc.org/wp-content/uploads/2017/11/Shiba-Inu-Illo-2.jpg,https://www.akc.org/wp-content/uploads/2017/11/Shiba-Inu-standing-in-profile-outdoors.jpg
West Highland White Terriers,36,38,41,41,42,42,44,44,https://www.akc.org/dog-breeds/west-highland-white-terrier/,https://www.akc.org/wp-content/uploads/2017/11/West-Highland-White-Terrier-Illo-2.jpg,https://www.akc.org/wp-content/uploads/2017/11/Westie.jpg
Bichons Frises,40,44,44,45,46,46,43,45,https://www.akc.org/dog-breeds/bichon-frise/,https://www.akc.org/wp-content/uploads/2017/11/Bichon-Frise-Illo-2.jpg,https://www.akc.org/wp-content/uploads/2017/11/Bichon-Frise-standing-on-a-stone-step-in-the-fall.jpg
Bloodhounds,48,50,49,52,50,49,51,46,https://www.akc.org/dog-breeds/bloodhound/,https://www.akc.org/wp-content/uploads/2017/11/Bloodhound-Illo-2.jpg,https://www.akc.org/wp-content/uploads/2017/11/Group-of-Bloodhounds-sniffing-the-ground.jpg
Spaniels (English Cocker),62,62,60,56,52,52,50,47,https://www.akc.org/dog-breeds/english-cocker-spaniel/,https://www.akc.org/wp-content/uploads/2017/11/English-Cocker-Spaniel-illustration.jpg,https://www.akc.org/wp-content/uploads/2017/11/English-Cocker-Spaniel-Slide03.jpg
Akitas,45,46,46,46,47,47,47,48,https://www.akc.org/dog-breeds/akita/,https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/06155318/Akita-illustration.jpg,https://www.akc.org/wp-content/uploads/2017/11/Akita-head-portrait-outdoors1.jpg
Portuguese Water Dogs,49,52,52,51,54,50,49,49,https://www.akc.org/dog-breeds/portuguese-water-dog/,https://www.akc.org/wp-content/uploads/2017/11/Portuguese-Water-Dog-Illo-2.jpg,https://www.akc.org/wp-content/uploads/2017/11/Portuguese-Water-Dog-standing-in-profile-outdoors.jpg
Retrievers (Chesapeake Bay),43,41,42,43,43,45,46,50,https://www.akc.org/dog-breeds/chesapeake-bay-retriever/,https://www.akc.org/wp-content/uploads/2017/11/Chesapeake-Bay-Retriever-Illo-2.jpg,https://www.akc.org/wp-content/uploads/2017/11/Chesapeake-Bay-Retriever-running-into-water.jpg
Dalmatians,64,66,62,62,63,56,60,51,https://www.akc.org/dog-breeds/dalmatian/,https://www.akc.org/wp-content/uploads/2017/11/Dalmatian-Illo-2.jpg,https://www.akc.org/wp-content/uploads/2017/11/IMG_9468.jpg
St. Bernards,47,51,50,49,48,48,48,52,https://www.akc.org/dog-breeds/st-bernard/,https://www.akc.org/wp-content/uploads/2017/11/Saint-Bernard-Illo-3.jpg,https://www.akc.org/wp-content/uploads/2017/11/Saint-Bernard-standing-in-profile-outdoors.jpg
Papillons,38,43,48,53,53,54,53,53,https://www.akc.org/dog-breeds/papillon/,https://www.akc.org/wp-content/uploads/2017/11/Papillon-Illo-2.jpg,https://www.akc.org/wp-content/uploads/2017/11/Papillons-sitting-outdoors-in-autumn.jpg
Australian Cattle Dogs,58,55,56,54,56,55,55,54,https://www.akc.org/dog-breeds/australian-cattle-dog/,https://www.akc.org/wp-content/uploads/2017/11/Australian-Cattle-Dog-Illo-2.jpg,https://www.akc.org/wp-content/uploads/2017/11/Australian-Cattle-Dog-laying-down-in-the-grass.jpg
Bullmastiffs,41,45,43,48,51,51,52,55,https://www.akc.org/dog-breeds/bullmastiff/,https://www.akc.org/wp-content/uploads/2017/11/Bullmastiff-Illo-2.jpg,https://www.akc.org/wp-content/uploads/2017/11/Bullmastiff-standing-in-a-field.jpg
Samoyeds,67,68,61,65,57,59,59,56,https://www.akc.org/dog-breeds/samoyed/,https://www.akc.org/wp-content/uploads/2017/11/Samoyed-illo.jpg,https://www.akc.org/wp-content/uploads/2017/11/Samoyed-standing-in-the-forest.jpg
Scottish Terriers,55,59,58,58,58,57,57,57,https://www.akc.org/dog-breeds/scottish-terrier/,https://www.akc.org/wp-content/uploads/2017/11/Scottish-Terrier-Illo-2.jpg,https://www.akc.org/wp-content/uploads/2017/11/Scottish-Terrier-On-White-04.jpg
Soft Coated Wheaten Terriers,51,49,47,50,49,53,54,58,https://www.akc.org/dog-breeds/soft-coated-wheaten-terrier/,https://www.akc.org/wp-content/uploads/2017/11/Soft-Coated-Wheaten-Terrier-Illo.jpg,https://www.akc.org/wp-content/uploads/2017/11/Soft-Coated-Wheaten-Terriers-together-in-the-grass.jpg
Whippets,59,56,57,60,61,61,58,59,https://www.akc.org/dog-breeds/whippet/,https://www.akc.org/wp-content/uploads/2017/11/Whippet-Illo-2.jpg,https://www.akc.org/wp-content/uploads/2017/11/Whippet-standing-in-the-woods.jpg
Pointers (German Wirehaired),71,71,68,64,62,63,64,60,https://www.akc.org/dog-breeds/german-wirehaired-pointer/,https://www.akc.org/wp-content/uploads/2017/11/German-Wirehaired-Pointer-Illo-2.jpg,https://www.akc.org/wp-content/uploads/2017/11/German-Wirehaired-Pointer-standing-in-a-green-grassy-field.jpg
Chinese Shar-Pei,54,58,59,61,64,64,66,61,https://www.akc.org/dog-breeds/chinese-shar-pei/,https://www.akc.org/wp-content/uploads/2017/11/Chinese-Shar-Pei-Illo-2.jpg,https://www.akc.org/wp-content/uploads/2017/11/Chinese-Shar-Pei-running.20200208224754968.jpg
Airedale Terriers,56,57,53,55,55,60,61,62,https://www.akc.org/dog-breeds/airedale-terrier/,https://www.akc.org/wp-content/uploads/2017/11/Airedale-Terrier-illustration.jpg,https://www.akc.org/wp-content/uploads/2017/11/Airedale-Terriers-together-in-the-grass.jpg
Wirehaired Pointing Griffons,80,76,66,66,65,65,63,63,https://www.akc.org/dog-breeds/wirehaired-pointing-griffon/,https://www.akc.org/wp-content/uploads/2017/11/Wirehaired-Pointing-Griffon-Illo-2.jpg,https://www.akc.org/wp-content/uploads/2017/11/Wirehaired-Pointing-Griffon-laying-in-a-field.jpg
Bull Terriers,52,53,55,57,60,62,62,64,https://www.akc.org/dog-breeds/bull-terrier/,https://www.akc.org/wp-content/uploads/2017/11/Bull-Terrrier-Illo.jpg,https://www.akc.org/wp-content/uploads/2017/11/bull-terrier-on-white-10.jpg
Alaskan Malamutes,57,54,54,59,59,58,65,65,https://www.akc.org/dog-breeds/alaskan-malamute/,https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/09152345/Alaskan-Malamute-illustration.jpg,https://www.akc.org/wp-content/uploads/2017/11/Alaskan-Malamute-sled-team-pulling-at-their-harness.jpg
Cardigan Welsh Corgis,75,78,76,69,68,68,67,66,https://www.akc.org/dog-breeds/cardigan-welsh-corgi/,https://www.akc.org/wp-content/uploads/2019/03/Cardigan-Welsh-Corgi-Illo-2.jpg,https://www.akc.org/wp-content/uploads/2017/11/Cardigan-Welsh-Corgi-on-White-111.jpg
Giant Schnauzers,83,83,81,79,80,78,72,67,https://www.akc.org/dog-breeds/giant-schnauzer/,https://www.akc.org/wp-content/uploads/2017/11/Giant-Schnauzer-Illo-2.jpg,https://www.akc.org/wp-content/uploads/2017/11/HDM_8647.jpg
Old English Sheepdogs,78,77,74,75,70,72,71,68,https://www.akc.org/dog-breeds/old-english-sheepdog/,https://www.akc.org/wp-content/uploads/2017/11/Old-English-Sheepdog-Illo-2.jpg,https://www.akc.org/wp-content/uploads/2017/11/Old-English-Sheepdog-head-portrait-outdoors-1.jpg
Italian Greyhounds,66,74,71,72,74,73,68,69,https://www.akc.org/dog-breeds/italian-greyhound/,https://www.akc.org/wp-content/uploads/2017/11/Italian-Greyhound-Illo-2.jpg,https://www.akc.org/wp-content/uploads/2017/11/Two-Italian-Greyhounds.jpg
Great Pyrenees,69,75,67,67,66,66,70,70,https://www.akc.org/dog-breeds/great-pyrenees/,https://www.akc.org/wp-content/uploads/2017/11/Great-Pyrenees-Illo-2.jpg,https://www.akc.org/wp-content/uploads/2017/11/Great-Pyrenees-together-in-a-field.jpg
Dogues de Bordeaux,65,63,63,63,67,67,69,71,https://www.akc.org/dog-breeds/dogue-de-bordeaux/,https://www.akc.org/wp-content/uploads/2017/11/Dogue-de-Bordeaux-Illo-2.jpg,https://www.akc.org/wp-content/uploads/2017/11/Dogue-de-Bordeaux-on-white-05.jpg
Russell Terriers,102,105,104,90,78,82,76,72,https://www.akc.org/dog-breeds/russell-terrier/,https://www.akc.org/wp-content/uploads/2017/11/Russell-Terrier-illustration.jpg,https://www.akc.org/wp-content/uploads/2017/11/Russell-Terrier-On-White-03.jpg
Cairn Terriers,61,69,70,70,69,69,73,73,https://www.akc.org/dog-breeds/cairn-terrier/,https://www.akc.org/wp-content/uploads/2017/11/Cairn-Terrier-Illo-2.jpg,https://www.akc.org/wp-content/uploads/2017/11/Cairn-Terrier-sitting-in-the-grass.jpg
Irish Wolfhounds,73,72,69,73,73,76,77,74,https://www.akc.org/dog-breeds/irish-wolfhound/,https://www.akc.org/wp-content/uploads/2017/11/Irish-Wolfhound-Illo-2.jpg,https://www.akc.org/wp-content/uploads/2017/11/Irish-Wolfhounds-standing-together-in-a-meadow.jpg
Setters (Irish),72,73,72,76,72,77,80,75,https://www.akc.org/dog-breeds/irish-setter/,https://www.akc.org/wp-content/uploads/2017/11/Irish_Setter-Illo.jpg,https://www.akc.org/wp-content/uploads/2017/11/Irish-Setter.3.jpg
Greater Swiss Mountain Dogs,74,80,78,78,75,74,74,76,https://www.akc.org/dog-breeds/greater-swiss-mountain-dog/,https://www.akc.org/wp-content/uploads/2017/11/Greater-Swiss-Mountain-Dog-Illo-2.jpg,https://www.akc.org/wp-content/uploads/2017/11/Greater-Swiss-Mountain-Dogs-together-in-the-grass.jpg
Miniature Pinschers,53,61,64,68,71,70,75,77,https://www.akc.org/dog-breeds/miniature-pinscher/,https://www.akc.org/wp-content/uploads/2017/11/Miniature-Pinscher-Illo-2.jpg,https://www.akc.org/wp-content/uploads/2017/11/Miniature-Pinscher-running-and-playing-outdoors.jpg
Lhasa Apsos,63,67,65,71,77,71,79,78,https://www.akc.org/dog-breeds/lhasa-apso/,https://www.akc.org/wp-content/uploads/2017/11/Lhasa-Apso-Illo-2.jpg,https://www.akc.org/wp-content/uploads/2017/11/Lhasa-Apsos-side-by-side-outdoors-in-the-grass.20200505221604144.jpg
Chinese Crested,68,65,75,77,79,79,81,79,https://www.akc.org/dog-breeds/chinese-crested/,https://www.akc.org/wp-content/uploads/2017/11/Chinese-Crested-Illo-2.jpg,https://www.akc.org/wp-content/uploads/2017/11/Chinese-Cresteds-head-portrait-outdoors.jpg
Coton de Tulear,NA,NA,NA,NA,NA,NA,NA,80,https://www.akc.org/dog-breeds/coton-de-tulear/,https://www.akc.org/wp-content/uploads/2017/11/Coton-de-Tulear-Illo-2.jpg,https://www.akc.org/wp-content/uploads/2017/11/Coton-de-Tulear-head-portrait.jpg
Staffordshire Bull Terriers,79,79,79,82,82,80,83,81,https://www.akc.org/dog-breeds/staffordshire-bull-terrier/,https://www.akc.org/wp-content/uploads/2017/11/Staffordshire-Bull-Terrier-Illo-2.jpg,https://www.akc.org/wp-content/uploads/2017/11/Staffordshire-Bull-Terrier-standing-outdoors.jpg
American Staffordshire Terriers,76,84,77,81,83,85,86,82,https://www.akc.org/dog-breeds/american-staffordshire-terrier/,https://www.akc.org/wp-content/uploads/2017/11/American-Staffordshire-Terrier-illustration.jpg,https://www.akc.org/wp-content/uploads/2017/11/AmStaff.01.jpg
Rat Terriers,NA,NA,NA,NA,NA,NA,NA,83,https://www.akc.org/dog-breeds/rat-terrier/,https://www.akc.org/wp-content/uploads/2017/11/Rat-Terrier-Illo-2.jpg,https://www.akc.org/wp-content/uploads/2017/11/Rat-Terrier-On-White-01.jpg
Chow Chows,70,70,73,74,76,75,78,84,https://www.akc.org/dog-breeds/chow-chow/,https://www.akc.org/wp-content/uploads/2017/11/Chow-Chow-Illo-2.jpg,https://www.akc.org/wp-content/uploads/2018/04/chow-chow-closeup-portrait-drooling.jpg
Anatolian Shepherd Dogs,93,94,92,84,86,90,96,85,https://www.akc.org/dog-breeds/anatolian-shepherd-dog/,https://www.akc.org/wp-content/uploads/2017/11/Anatolian-Shepherd-Dog-Illo-2.jpg,https://www.akc.org/wp-content/uploads/2017/11/Anatolian-Shepherd-Dog-On-White-01.jpg
Basenjis,85,86,87,88,84,87,88,86,https://www.akc.org/dog-breeds/basenji/,https://www.akc.org/wp-content/uploads/2017/11/Basenji-Illo-2.jpg,https://www.akc.org/wp-content/uploads/2017/11/Basenjis-outdoors-together.jpg
Spaniels (Boykin),121,108,107,110,98,100,90,87,https://www.akc.org/dog-breeds/boykin-spaniel/,https://www.akc.org/wp-content/uploads/2017/11/Boykin-Spaniel-Illo-2.jpg,https://www.akc.org/wp-content/uploads/2017/11/Boykin-Spaniel-holding-a-dummy-toy.jpg
Lagotti Romagnoli,NA,NA,NA,NA,NA,NA,NA,88,https://www.akc.org/dog-breeds/lagotto-romagnolo/,https://www.akc.org/wp-content/uploads/2017/11/Lagotto-Romagnolo-illustration.jpg,https://www.akc.org/wp-content/uploads/2017/11/Lagotti-leaping-into-a-lake.jpg
Brussels Griffons,84,91,95,97,94,98,98,89,https://www.akc.org/dog-breeds/brussels-griffon/,https://www.akc.org/wp-content/uploads/2017/11/Brussels-Griffon-Illo-2.jpg,https://www.akc.org/wp-content/uploads/2017/11/Brussels-Griffon-sitting-outdoors.jpg
Retrievers (Nova Scotia Duck Tolling),97,99,99,87,89,83,87,90,https://www.akc.org/dog-breeds/nova-scotia-duck-tolling-retriever/,https://www.akc.org/wp-content/uploads/2017/11/Nova-Scotia-Duck-Tolling-Retriever-Illo-2.jpg,https://www.akc.org/wp-content/uploads/2017/11/Nova-Scotia-Duck-Tolling-Retrievers-laying-down-side-by-side-outdoors-in-the-fall.jpg
Norwegian Elkhounds,103,103,88,94,91,97,94,91,https://www.akc.org/dog-breeds/norwegian-elkhound/,https://www.akc.org/wp-content/uploads/2017/11/Norwegian-Elkhound-Illo-2.jpg,https://www.akc.org/wp-content/uploads/2017/11/Norwegian-Elkhound-standing-outdoors.20200511190850171.jpg
Standard Schnauzers,90,90,91,85,90,89,99,92,https://www.akc.org/dog-breeds/standard-schnauzer/,https://www.akc.org/wp-content/uploads/2017/11/Standard-Schnauzer-illustration.jpg,https://www.akc.org/wp-content/uploads/2017/11/Standard-Schnauzer-standing-on-a-log-outdoors.jpg
Dogo Argentinos,NA,NA,NA,NA,NA,NA,NA,93,https://www.akc.org/dog-breeds/dogo-argentino/,https://www.akc.org/wp-content/uploads/2017/11/Dogo-Argentino-illustration.jpg,https://www.akc.org/wp-content/uploads/2017/11/Dogo-Argentino.jpg
Bouviers des Flandres,82,81,83,83,85,84,93,94,https://www.akc.org/dog-breeds/bouvier-des-flandres/,https://www.akc.org/wp-content/uploads/2017/11/Bouvier-des-Flandres-Illo-2.jpg,https://www.akc.org/wp-content/uploads/2017/11/Two-Bouvier-des-Flandres-together-in-the-grass.jpg
Pekingese,77,82,80,93,88,92,84,95,https://www.akc.org/dog-breeds/pekingese/,https://www.akc.org/wp-content/uploads/2017/11/Pekingese-Illo-2.jpg,https://www.akc.org/wp-content/uploads/2017/11/Pekingese-standing-in-the-grass.jpg
Keeshonden,86,87,84,92,87,95,89,96,https://www.akc.org/dog-breeds/keeshond/,https://www.akc.org/wp-content/uploads/2017/11/Keeshond-Illo-2.jpg,https://www.akc.org/wp-content/uploads/2017/11/Keeshonden-sitting-side-by-side-in-the-grass.jpg
Border Terriers,81,85,82,86,92,88,85,97,https://www.akc.org/dog-breeds/border-terrier/,https://www.akc.org/wp-content/uploads/2017/11/Border-Terrier-Illo-2.jpg,https://www.akc.org/wp-content/uploads/2017/11/Border-Terrier-running.jpg
Leonbergers,98,104,93,95,100,93,97,98,https://www.akc.org/dog-breeds/leonberger/,https://www.akc.org/wp-content/uploads/2017/11/Leonberger-illustration.jpg,https://www.akc.org/wp-content/uploads/2017/11/Leonbergers-walking-together-on-a-trail.jpg
